amount_tsh,date_recorded,funder,installer,basin,subvillage,region,lga,ward,population,public_meeting,recorded_by,scheme_management,permit,construction_year,extraction_type,payment,water_quality,quantity,source,source_class,waterpoint_type,waterpoint_type_group,days_since_recorded
0.0,2013-02-02,Other,Other,Ruvuma / Southern Coast,Liponde A,Mtwara,Tandahimba,Chaume,300,True,GeoData Consultants Ltd,Water Board,True,80s,submersible,never pay,soft,dry,machine dbh,groundwater,communal standpipe,communal standpipe,304
0.0,2013-03-12,Other,0,Wami / Ruvu,Kisiwani,Dar es Salaam,Temeke,Vijibweni,120,True,GeoData Consultants Ltd,Other,False,10s,submersible,never pay,soft,enough,machine dbh,groundwater,communal standpipe,communal standpipe,266
0.0,2011-03-07,Other,DWE,Rufiji,Matewele,Iringa,Njombe,Yakobi,30,True,GeoData Consultants Ltd,VWC,False,00s,gravity,never pay,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,1002
0.0,2013-02-04,Other,DWE,Lake Tanganyika,Kibondo,Kigoma,Kigoma Rural,Mtego wa Noti,1750,True,GeoData Consultants Ltd,VWC,True,00s,other,unknown,milky,enough,shallow well,groundwater,other,other,302
0.0,2013-02-09,Other,Other,Internal,Muhintiri,Singida,Singida Rural,Naintiri,1,True,GeoData Consultants Ltd,VWC,Unknown,70s,mono,unknown,unknown,dry,machine dbh,groundwater,communal standpipe,communal standpipe,297
0.0,2012-10-07,Other,DWE,Lake Victoria,Ging'Hi,Shinyanga,Maswa,Buchambi,0,True,GeoData Consultants Ltd,WUG,False,Unknown,nira/tanira,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,422
200.0,2011-02-23,Other,DWE,Rufiji,Mpeto A,Iringa,Njombe,Ikuka,50,True,GeoData Consultants Ltd,VWC,False,00s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,1014
0.0,2013-02-18,Other,DWE,Ruvuma / Southern Coast,Mabatini,Ruvuma,Songea Rural,Maposeni,0,True,GeoData Consultants Ltd,VWC,True,00s,gravity,never pay,soft,dry,river,surface,communal standpipe,communal standpipe,288
0.0,2011-04-10,Other,Other,Wami / Ruvu,Chididimo,Dodoma,Dodoma Urban,Mtumba,0,True,GeoData Consultants Ltd,VWC,False,Unknown,mono,pay per bucket,salty,dry,machine dbh,groundwater,communal standpipe multiple,communal standpipe,968
0.0,2013-02-04,Other,DWE,Lake Victoria,Nkonze,Shinyanga,Bariadi,Lugulu,0,True,GeoData Consultants Ltd,WUG,False,Unknown,nira/tanira,pay when scheme fails,salty abandoned,enough,shallow well,groundwater,hand pump,hand pump,302
0.0,2013-02-20,Other,Other,Internal,Mapinduzi,Manyara,Kiteto,Olbolot,860,True,GeoData Consultants Ltd,VWC,False,00s,gravity,never pay,soft,seasonal,rainwater harvesting,surface,communal standpipe,communal standpipe,286
5.0,2013-12-03,Other,Other,Internal,Dofa,Arusha,Karatu,Qurus,200,True,GeoData Consultants Ltd,VWC,True,00s,gravity,pay per bucket,soft,enough,river,surface,communal standpipe,communal standpipe,0
0.0,2012-10-29,Government Of Tanzania,DWE,Internal,Selemi,Tabora,Nzega,Igusule,0,False,GeoData Consultants Ltd,VWC,True,Unknown,mono,never pay,soft,enough,machine dbh,groundwater,communal standpipe,communal standpipe,400
0.0,2012-11-05,Other,Other,Lake Tanganyika,Idete,Tabora,Uyui,Isikizya,0,True,GeoData Consultants Ltd,VWC,True,Unknown,afridev,never pay,soft,seasonal,shallow well,groundwater,hand pump,hand pump,393
20.0,2013-03-13,Other,Other,Internal,Kinihe,Arusha,Karatu,Qurus,300,True,GeoData Consultants Ltd,VWC,True,90s,gravity,pay per bucket,coloured,enough,river,surface,communal standpipe multiple,communal standpipe,265
500.0,2011-03-27,Other,DWE,Rufiji,Ujindile Kati,Iringa,Njombe,Ilembula,360,True,GeoData Consultants Ltd,WUA,True,70s,gravity,pay monthly,soft,enough,river,surface,communal standpipe,communal standpipe,982
500.0,2011-07-04,Other,DWE,Rufiji,Ngelele,Iringa,Njombe,Mdandu,45,True,GeoData Consultants Ltd,WUA,True,70s,gravity,pay monthly,soft,enough,river,surface,communal standpipe,communal standpipe,883
0.0,2011-03-14,Other,DWE,Pangani,Mavovo,Tanga,Mkinga,Maramba,200,True,GeoData Consultants Ltd,VWC,True,70s,gravity,never pay,coloured,insufficient,spring,groundwater,communal standpipe,communal standpipe,995
1000.0,2013-02-22,Government Of Tanzania,Other,Pangani,Chumvu Juu,Kilimanjaro,Mwanga,Chomvu,45,True,GeoData Consultants Ltd,WUA,False,70s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,284
0.0,2011-02-27,Other,DWE,Wami / Ruvu,Msufini,Morogoro,Mvomero,Hembeti,1,True,GeoData Consultants Ltd,VWC,True,80s,gravity,never pay,soft,insufficient,river,surface,communal standpipe,communal standpipe,1010
0.0,2011-03-30,Danida,DANIDA,Lake Rukwa,Idugumbe,Mbeya,Mbeya Rural,Utengule Usongwe,0,True,GeoData Consultants Ltd,VWC,False,Unknown,gravity,pay when scheme fails,soft,dry,river,surface,communal standpipe,communal standpipe,979
50.0,2013-02-06,Other,Other,Ruvuma / Southern Coast,Zambia,Mtwara,Mtwara Rural,Nanguruwe,400,True,GeoData Consultants Ltd,VWC,True,00s,submersible,pay per bucket,soft,enough,machine dbh,groundwater,communal standpipe multiple,communal standpipe,300
0.0,2011-03-19,Government Of Tanzania,DWE,Pangani,Mashuini,Tanga,Muheza,Nkumba,120,True,GeoData Consultants Ltd,VWC,False,80s,india mark ii,never pay,soft,insufficient,shallow well,groundwater,hand pump,hand pump,990
0.0,2012-10-12,World Bank,Other,Lake Victoria,Kaselya,Shinyanga,Shinyanga Rural,Usule,0,True,GeoData Consultants Ltd,VWC,True,Unknown,other,never pay,soft,enough,machine dbh,groundwater,communal standpipe multiple,communal standpipe,417
0.0,2011-08-14,Other,Other,Lake Victoria,Nyasambi,Mwanza,Kwimba,Ngulla,0,True,GeoData Consultants Ltd,VWC,True,Unknown,swn 80,never pay,unknown,dry,shallow well,groundwater,hand pump,hand pump,842
0.0,2011-07-28,Other,DWE,Lake Victoria,Isunda,Mwanza,Kwimba,Fukalo,0,True,GeoData Consultants Ltd,VWC,True,Unknown,submersible,pay per bucket,soft,enough,lake,surface,communal standpipe multiple,communal standpipe,859
0.0,2011-04-03,Government Of Tanzania,Other,Rufiji,Iduda,Mbeya,Mbeya Rural,Inyala,0,True,GeoData Consultants Ltd,VWC,True,Unknown,gravity,pay when scheme fails,soft,dry,river,surface,communal standpipe,communal standpipe,975
0.0,2012-10-15,Other,Other,Lake Tanganyika,Ugowola A,Tabora,Uyui,Ufuluma,0,True,GeoData Consultants Ltd,VWC,True,Unknown,india mark ii,pay when scheme fails,soft,enough,machine dbh,groundwater,hand pump,hand pump,414
50.0,2013-03-04,Other,Other,Pangani,Kigogo,Kilimanjaro,Same,Njoro,180,True,GeoData Consultants Ltd,Water authority,True,00s,submersible,pay per bucket,salty,insufficient,machine dbh,groundwater,communal standpipe,communal standpipe,274
0.0,2011-04-12,Other,Other,Rufiji,Matwalani,Mbeya,Mbeya Rural,Ulenje,0,False,GeoData Consultants Ltd,VWC,False,Unknown,gravity,pay when scheme fails,soft,enough,river,surface,communal standpipe,communal standpipe,966
0.0,2012-10-16,Government Of Tanzania,Government,Lake Victoria,Mwankali,Shinyanga,Maswa,Buchambi,0,True,GeoData Consultants Ltd,Water authority,False,Unknown,gravity,pay monthly,soft,enough,dam,surface,communal standpipe,communal standpipe,413
0.0,2011-07-23,Other,Other,Lake Nyasa,Kisungu,Mbeya,Rungwe,Kiwira,0,True,GeoData Consultants Ltd,VWC,Unknown,Unknown,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,864
0.0,2011-03-18,Government Of Tanzania,DWE,Pangani,Usagara,Tanga,Lushoto,Mlola,1,True,GeoData Consultants Ltd,VWC,True,70s,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,991
1500.0,2013-02-09,Danida,DANIDA,Ruvuma / Southern Coast,Njawanga,Ruvuma,Tunduru,Ligunga,1,True,GeoData Consultants Ltd,VWC,False,90s,swn 80,pay monthly,soft,insufficient,machine dbh,groundwater,hand pump,hand pump,297
0.0,2012-10-15,Other,DWE,Internal,Sengerema,Shinyanga,Kishapu,Talaga,0,True,GeoData Consultants Ltd,VWC,True,Unknown,gravity,pay per bucket,soft,insufficient,spring,groundwater,communal standpipe multiple,communal standpipe,414
0.0,2013-01-19,Other,DWE,Ruvuma / Southern Coast,Msiteteme,Lindi,Kilwa,Pande,530,Unknown,GeoData Consultants Ltd,VWC,False,00s,submersible,unknown,soft,unknown,machine dbh,groundwater,communal standpipe multiple,communal standpipe,318
0.0,2011-08-01,Hesawa,Hesawa,Lake Victoria,Nyang'Hulukulu,Mwanza,Geita,Nyang'hwale,0,True,GeoData Consultants Ltd,VWC,True,Unknown,other,unknown,unknown,dry,machine dbh,groundwater,other,other,855
0.0,2011-08-07,Hesawa,DWE,Lake Victoria,Kulutale,Mwanza,Ukerewe,Bwisya,1200,True,GeoData Consultants Ltd,Other,True,90s,gravity,never pay,soft,insufficient,spring,groundwater,improved spring,improved spring,849
0.0,2013-03-30,Government Of Tanzania,Government,Pangani,Kanisani,Kilimanjaro,Moshi Rural,Mamba Kusini,1,True,GeoData Consultants Ltd,WUA,True,70s,gravity,never pay,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,248
0.0,2013-02-12,Danida,DANIDA,Rufiji,Namikurumo,Ruvuma,Namtumbo,Msindo,250,True,GeoData Consultants Ltd,WUG,False,90s,swn 80,pay when scheme fails,soft,enough,shallow well,groundwater,hand pump,hand pump,294
0.0,2013-03-28,World Bank,DWE,Pangani,Afya,Arusha,Arusha Rural,Oltrumet,200,True,GeoData Consultants Ltd,VWC,True,00s,gravity,never pay,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,250
0.0,2012-10-13,World Vision,Other,Internal,Ishima,Shinyanga,Maswa,Busilili,0,True,GeoData Consultants Ltd,WUG,False,Unknown,nira/tanira,other,soft,enough,shallow well,groundwater,hand pump,hand pump,416
0.0,2011-08-01,Other,Other,Lake Victoria,Kumgogola,Kagera,Ngara,Mabawe,0,True,GeoData Consultants Ltd,VWC,False,Unknown,gravity,never pay,soft,insufficient,spring,groundwater,other,other,855
500.0,2012-10-19,Other,Other,Lake Victoria,Sori,Mara,Tarime,Goribe,560,True,GeoData Consultants Ltd,VWC,True,10s,afridev,pay monthly,soft,enough,shallow well,groundwater,hand pump,hand pump,410
0.0,2013-01-29,Other,Other,Internal,Makiungu,Singida,Singida Rural,Munga'a,1,True,GeoData Consultants Ltd,VWC,Unknown,90s,other,unknown,unknown,dry,shallow well,groundwater,other,other,308
2400.0,2011-03-04,Danida,DWE,Rufiji,M,Iringa,Mufindi,Igombavanu,0,True,GeoData Consultants Ltd,VWC,True,Unknown,swn 80,pay annually,soft,enough,hand dtw,groundwater,hand pump,hand pump,1005
1000.0,2011-03-23,Other,DWE,Rufiji,Iragua Kati,Morogoro,Ulanga,Iragua,230,True,GeoData Consultants Ltd,Other,True,10s,nira/tanira,pay monthly,soft,enough,shallow well,groundwater,hand pump,hand pump,986
0.0,2013-03-19,Government Of Tanzania,DWE,Pangani,Upendo,Arusha,Arusha Rural,Mlangarini,150,True,GeoData Consultants Ltd,VWC,True,80s,gravity,never pay,soft,enough,spring,groundwater,other,other,259
0.0,2013-02-18,Government Of Tanzania,Other,Pangani,Kala,Kilimanjaro,Rombo,Kisale Msangara,1,True,GeoData Consultants Ltd,Company,True,60s,gravity,pay monthly,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,288
0.0,2013-02-16,Other,DWE,Lake Victoria,Magua,Mwanza,Magu,Nkungulu,0,Unknown,GeoData Consultants Ltd,WUG,False,Unknown,nira/tanira,unknown,soft,enough,shallow well,groundwater,hand pump,hand pump,290
7.0,2013-03-17,Other,Other,Pangani,Nshironi,Kilimanjaro,Hai,Machame Kaskazini,1,True,GeoData Consultants Ltd,Water Board,True,00s,gravity,pay per bucket,soft,enough,spring,groundwater,communal standpipe,communal standpipe,261
500.0,2013-02-11,Government Of Tanzania,Government,Lake Tanganyika,Mugera,Kigoma,Kasulu,Muyama,950,True,GeoData Consultants Ltd,Water authority,False,70s,ksb,other,soft,enough,machine dbh,groundwater,communal standpipe multiple,communal standpipe,295
500.0,2013-02-03,Danida,DANIDA,Ruvuma / Southern Coast,Ujiranimwema,Ruvuma,Tunduru,Namasakata,1,True,GeoData Consultants Ltd,VWC,False,80s,gravity,pay monthly,soft,enough,river,surface,communal standpipe,communal standpipe,303
0.0,2011-04-08,Kkkt,KKKT,Lake Rukwa,Nandago,Mbeya,Mbozi,Ruanda,0,True,GeoData Consultants Ltd,VWC,False,Unknown,nira/tanira,pay when scheme fails,soft,insufficient,shallow well,groundwater,hand pump,hand pump,970
0.0,2013-02-19,Other,Other,Internal,Sharaman,Manyara,Hanang,Hidet,221,True,GeoData Consultants Ltd,VWC,True,00s,gravity,never pay,soft,dry,spring,groundwater,communal standpipe,communal standpipe,287
0.0,2011-08-20,Other,DWE,Lake Rukwa,Legeza Mwendo B,Rukwa,Sumbawanga Rural,Legezamwendo,50,True,GeoData Consultants Ltd,VWC,False,80s,india mark ii,never pay,soft,enough,machine dbh,groundwater,hand pump,hand pump,836
0.0,2013-02-08,Government Of Tanzania,Government,Lake Victoria,Mwenge,Shinyanga,Maswa,Malampaka,0,True,GeoData Consultants Ltd,WUG,False,Unknown,gravity,pay per bucket,soft,insufficient,machine dbh,groundwater,communal standpipe multiple,communal standpipe,298
1000.0,2011-03-05,Government Of Tanzania,DWE,Pangani,Kigombe Magharibi,Tanga,Muheza,Kigombe,25,True,GeoData Consultants Ltd,VWC,False,00s,gravity,never pay,soft,insufficient,machine dbh,groundwater,communal standpipe multiple,communal standpipe,1004
7.0,2013-03-21,Other,Other,Pangani,Rambo,Kilimanjaro,Hai,Machame Kaskazini,125,True,GeoData Consultants Ltd,Water Board,True,00s,gravity,pay per bucket,soft,enough,spring,groundwater,communal standpipe,communal standpipe,257
0.0,2011-03-10,World Bank,Other,Internal,Mapang,Dodoma,Bahi,Ibugule,0,True,GeoData Consultants Ltd,VWC,True,Unknown,mono,pay per bucket,soft,enough,machine dbh,groundwater,communal standpipe,communal standpipe,999
500.0,2013-03-06,Government Of Tanzania,Other,Pangani,Mashine,Kilimanjaro,Mwanga,Lembeni,80,True,GeoData Consultants Ltd,Water Board,True,70s,gravity,pay monthly,soft,insufficient,spring,groundwater,other,other,272
0.0,2012-10-28,Other,Other,Lake Tanganyika,Magharibi A,Tabora,Urambo,Muungano,0,True,GeoData Consultants Ltd,VWC,True,Unknown,afridev,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,401
0.0,2011-03-23,Government Of Tanzania,DWE,Pangani,Balazani,Tanga,Lushoto,Bumbuli,1,True,GeoData Consultants Ltd,VWC,True,60s,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,986
0.0,2011-07-08,Hesawa,DWE,Lake Victoria,Bunazi A,Kagera,Misenyi,Kassambya,0,True,GeoData Consultants Ltd,VWC,True,Unknown,swn 80,never pay,soft,insufficient,shallow well,groundwater,hand pump,hand pump,879
0.0,2011-07-10,Hesawa,DWE,Lake Victoria,Omukarubumba,Kagera,Karagwe,Nyaishozi,0,True,GeoData Consultants Ltd,WUA,True,Unknown,gravity,pay annually,soft,enough,spring,groundwater,communal standpipe,communal standpipe,877
0.0,2013-06-03,Government Of Tanzania,Other,Pangani,Arauyo,Arusha,Meru,Maji ya Chai,98,True,GeoData Consultants Ltd,VWC,True,00s,gravity,unknown,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,183
0.0,2012-10-25,Other,DWE,Lake Tanganyika,Nyang'Holongo,Shinyanga,Bukombe,Mbogwe,0,True,GeoData Consultants Ltd,Parastatal,True,Unknown,gravity,unknown,soft,seasonal,rainwater harvesting,surface,communal standpipe,communal standpipe,404
0.0,2011-07-26,Other,DWE,Lake Victoria,Kaalilo,Kagera,Bukoba Rural,Kishanje,0,True,GeoData Consultants Ltd,VWC,True,Unknown,gravity,never pay,soft,insufficient,rainwater harvesting,surface,communal standpipe,communal standpipe,861
0.0,2011-03-30,Government Of Tanzania,Other,Internal,Gwandi - Kati,Dodoma,Kondoa,Gwandi,0,True,GeoData Consultants Ltd,VWC,False,Unknown,mono,never pay,soft,enough,machine dbh,groundwater,communal standpipe,communal standpipe,979
0.0,2011-03-22,Other,Other,Rufiji,Kikoboga,Morogoro,Kilosa,Kidodi,300,Unknown,GeoData Consultants Ltd,Other,True,Unknown,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,987
7500.0,2013-02-15,Other,Other,Pangani,Njia Panda,Kilimanjaro,Mwanga,Kirya,320,True,GeoData Consultants Ltd,Private operator,False,10s,climax,pay annually,unknown,enough,dam,surface,communal standpipe,communal standpipe,291
50.0,2011-03-20,Other,DWE,Wami / Ruvu,Mwendapole B,Pwani,Kibaha,Kibaha,1,True,GeoData Consultants Ltd,Water authority,True,10s,mono,pay per bucket,soft,enough,river,surface,communal standpipe multiple,communal standpipe,989
2000.0,2011-02-14,Other,Other,Rufiji,Uhananya,Iringa,Kilolo,Mtitu,1,True,GeoData Consultants Ltd,VWC,True,00s,swn 80,never pay,soft,enough,machine dbh,groundwater,hand pump,hand pump,1023
0.0,2013-02-13,Other,DWE,Internal,Senta,Manyara,Babati,Mamire,72,True,GeoData Consultants Ltd,VWC,True,90s,gravity,never pay,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,293
0.0,2011-07-16,Government Of Tanzania,DWE,Lake Rukwa,Muungano,Rukwa,Mpanda,Nsimbo,70,False,GeoData Consultants Ltd,Water authority,True,70s,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,871
300.0,2011-03-16,Other,Other,Wami / Ruvu,Shuleni,Morogoro,Kilosa,Lumuma,350,True,GeoData Consultants Ltd,VWC,True,90s,nira/tanira,pay when scheme fails,soft,insufficient,shallow well,groundwater,hand pump,hand pump,993
0.0,2012-10-18,World Vision,Other,Internal,Mwakabata,Tabora,Nzega,Itobo,0,False,GeoData Consultants Ltd,VWC,False,Unknown,nira/tanira,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,411
100.0,2011-03-19,Government Of Tanzania,Commu,Rufiji,Makusi,Iringa,Makete,Mlondwe,0,True,GeoData Consultants Ltd,VWC,False,70s,gravity,pay when scheme fails,soft,enough,spring,groundwater,communal standpipe,communal standpipe,990
500.0,2011-03-12,Government Of Tanzania,Commu,Lake Nyasa,Lusiva,Iringa,Makete,Ipelele,0,True,GeoData Consultants Ltd,VWC,False,80s,gravity,pay when scheme fails,soft,enough,spring,groundwater,communal standpipe,communal standpipe,997
0.0,2011-03-14,Other,Other,Wami / Ruvu,Mtakuja,Morogoro,Mvomero,Diongoya,20,True,GeoData Consultants Ltd,VWC,True,00s,other,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,995
0.0,2011-07-12,Hesawa,Other,Lake Victoria,Mahiyoro,Kagera,Bukoba Rural,Buterankuzi,0,True,GeoData Consultants Ltd,VWC,True,Unknown,gravity,never pay,soft,insufficient,river,surface,communal standpipe,communal standpipe,875
0.0,2011-07-22,Government Of Tanzania,DWE,Lake Rukwa,Igongwe,Rukwa,Mpanda,Sitalike,50,False,GeoData Consultants Ltd,Water authority,True,70s,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,865
0.0,2012-10-03,Other,Other,Internal,Isagehe Center,Shinyanga,Kahama,Isagehe,0,True,GeoData Consultants Ltd,VWC,True,Unknown,gravity,pay per bucket,soft,enough,spring,groundwater,communal standpipe multiple,communal standpipe,426
0.0,2011-07-29,Other,Other,Lake Victoria,Kiga,Kagera,Muleba,Kashasha,0,True,GeoData Consultants Ltd,VWC,True,Unknown,ksb,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,858
10.0,2011-03-01,Other,Other,Wami / Ruvu,Msewe,Morogoro,Mvomero,Tchenzema,60,True,GeoData Consultants Ltd,VWC,True,00s,gravity,pay per bucket,soft,enough,river,surface,communal standpipe,communal standpipe,1008
0.0,2013-01-26,Government Of Tanzania,DWE,Ruvuma / Southern Coast,Msitu Wa Simba B,Lindi,Kilwa,Njinjo,390,True,GeoData Consultants Ltd,Other,True,10s,nira/tanira,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,311
0.0,2012-10-19,Other,Other,Lake Tanganyika,Mponda,Shinyanga,Bukombe,Lugunga,0,Unknown,GeoData Consultants Ltd,Other,False,Unknown,other,unknown,unknown,unknown,unknown,unknown,hand pump,hand pump,410
0.0,2011-06-03,Kkkt,Other,Rufiji,Nyamande A,Iringa,Njombe,Mahongole,40,True,GeoData Consultants Ltd,VWC,False,00s,nira/tanira,never pay,soft,enough,hand dtw,groundwater,hand pump,hand pump,914
250.0,2013-02-16,Other,Other,Lake Tanganyika,Kabuye,Kigoma,Kasulu,Muhunga,650,True,GeoData Consultants Ltd,Water authority,True,90s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,290
500.0,2011-03-08,Government Of Tanzania,DWE,Pangani,Mtii,Tanga,Lushoto,Mnazi,1,True,GeoData Consultants Ltd,VWC,True,70s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,1001
0.0,2011-04-18,Other,Other,Lake Nyasa,Itete,Mbeya,Rungwe,Kabula,0,True,GeoData Consultants Ltd,VWC,Unknown,Unknown,gravity,unknown,soft,unknown,spring,groundwater,communal standpipe,communal standpipe,960
20.0,2013-02-07,Other,Other,Internal,Mji B,Manyara,Mbulu,Haidom,192,True,GeoData Consultants Ltd,VWC,True,90s,submersible,pay per bucket,soft,enough,machine dbh,groundwater,communal standpipe,communal standpipe,299
0.0,2012-12-10,Other,Other,Lake Tanganyika,Malumba,Tabora,Tabora Urban,Itonjanda,0,False,GeoData Consultants Ltd,VWC,True,Unknown,other,never pay,soft,dry,shallow well,groundwater,other,other,358
100.0,2013-03-15,Other,0,Wami / Ruvu,Mtaa Wa Lukooni,Dar es Salaam,Ilala,Chanika,250,Unknown,GeoData Consultants Ltd,Private operator,False,10s,submersible,pay per bucket,soft,enough,hand dtw,groundwater,communal standpipe,communal standpipe,263
1000.0,2011-03-01,Danida,Other,Rufiji,Kimwanyula,Iringa,Iringa Rural,Mseke,1,True,GeoData Consultants Ltd,VWC,True,80s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,1008
50.0,2013-04-04,Government Of Tanzania,DWE,Pangani,Sakei,Arusha,Arusha Rural,Kiranyi,200,True,GeoData Consultants Ltd,VWC,True,00s,gravity,pay per bucket,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,243
0.0,2011-04-04,Other,Other,Lake Nyasa,Ipyana,Mbeya,Rungwe,Itete,0,True,GeoData Consultants Ltd,VWC,Unknown,Unknown,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,974
